Gene	SampleNumber
ARHGAP28	3
ARHGAP32	3
ARHGAP5	3
ARHGEF16	3
ARID4B	3
ARMCX5-GPRASP2	3
ARSE	3
ASIC2	3
ASPM	3
ASZ1	3
ATAD2	3
ATN1	3
ATP2B3	3
ATP8A2	3
ATP8B3	3
ATXN2L	3
BAG1	3
BAHD1	3
BCAM	3
BICD2	3
BPIFB2	3
BPIFC	3
BPTF	3
BRD8	3
BRDT	3
BSN	3
BVES	3
C10orf12	3
C12orf35	3
C12orf51	3
C12orf63	3
C1S	3
C2orf55	3
C3orf20	3
C6orf221	3
C7orf10	3
C8B	3
CABS1	3
CACNA1D	3
CAD	3
CAMTA1	3
CAPN13	3
CARM1	3
CASP1	3
CASR	3
CCDC108	3
CCDC110	3
CCDC129	3
CCDC158	3
CCDC18	3
CCDC37	3
CCDC85A	3
CD1D	3
CDC42BPB	3
CDH23	3
CDH5	3
CDKL5	3
CDKN2C	3
CDYL2	3
CEACAM20	3
CEACAM5	3
CEACAM7	3
CEL	3
CENPE	3
CENPF	3
CEP104	3
CEP152	3
CEP250	3
CFB	3
CFHR5	3
CHAF1A	3
CHAT	3
CHD6	3
CHEK1	3
CHRM2	3
CHRND	3
CHSY3	3
CIITA	3
CKAP2L	3
CKMT1A	3
CLEC4M	3
CLIP1	3
CNGA4	3
CNTN3	3
CNTN4	3
CNTN5	3
CNTNAP3	3
COBLL1	3
COG2	3
COL17A1	3
COL4A2	3
COL4A5	3
COL4A6	3
COL6A1	3
COL7A1	3
CPD	3
CPNE7	3
CPNE8	3
CPXM2	3
CR2	3
CRTAC1	3
CSMD1	3
CSPG4	3
CTNNA2	3
CUL1	3
CUL9	3
CXorf59	3
CYP11A1	3
CYP2B6	3
CYP3A7	3
CYP4F11	3
CYP4F2	3
CYP4F22	3
CYP4F3	3
CYP4F8	3
CYP4X1	3
DAB1	3
DAXX	3
DCDC5	3
DCHS1	3
DDC	3
DDX12P	3
DDX26B	3
DDX41	3
DENND1C	3
DENND2C	3
DENND4C	3
DES	3
DHX30	3
DIAPH2	3
DIDO1	3
DLG4	3
DMBT1	3
DNAH1	3
DNAH10	3
DNMBP	3
DOCK11	3
DSC3	3
EBF2	3
EEF1A1	3
EFCAB6	3
EGR1	3
ELSPBP1	3
EML2	3
ENAM	3
ENPP4	3
EPHA1	3
EPHA7	3
EPHA8	3
EPHB2	3
EPHX4	3
ERCC6	3
ERN2	3
ESPL1	3
ESR2	3
ESRRB	3
EVI2B	3
EZH2	3
EZR	3
F9	3
FAM110B	3
FAM126B	3
FAM13C	3
FAM190A	3
FAM46C	3
FAM75A6	3
FAM75C1	3
FAM75C2	3
FAM75D1	3
FAM81B	3
FAM86DP	3
FAP	3
FAT1	3
FBN1	3
FER1L6	3
FFAR2	3
FGB	3
FLNC	3
FMN1	3
FN1	3
FNDC1	3
FNDC3B	3
FOXA1	3
FOXD4L5	3
FOXG1	3
FOXP2	3
FPR2	3
FREM1	3
FSTL5	3
FUT5	3
FZD10	3
GABRA5	3
GAS2L2	3
GCN1L1	3
GIMAP1-GIMAP5	3
GLI2	3
GLIS1	3
GLT1D1	3
GLUD2	3
GOLGA3	3
GOLGB1	3
GPR132	3
GPR133	3
GPR141	3
GPR142	3
GPR15	3
GPR162	3
GPR45	3
GPRC6A	3
GRB10	3
GRIA3	3
GRIK3	3
GRIN2B	3
GRM1	3
HCLS1	3
HDAC2	3
HDC	3
HELZ	3
HEMGN	3
HEY2	3
HFM1	3
HHIPL2	3
HIPK1	3
HIST1H2BE	3
HNF1B	3
HNF4A	3
HOOK1	3
HOXA6	3
HPS3	3
HPSE	3
HRH2	3
HRH3	3
HSPA12A	3
HTR3A	3
HTR3E	3
HUNK	3
HUWE1	3
IARS	3
IFNGR2	3
IGF2BP1	3
IGF2R	3
IKZF1	3
IL1RAPL2	3
INPP5D	3
INPPL1	3
IQGAP3	3
IQSEC3	3
IRS1	3
ITGA4	3
ITGAD	3
ITGB4	3
ITGB7	3
ITIH5	3
ITIH6	3
ITPR2	3
ITSN1	3
JAG1	3
JAG2	3
JPH2	3
KAZN	3
KCNA10	3
KCNA4	3
KCNC2	3
KCNG1	3
KCNH1	3
KCNH6	3
KCNJ18	3
KCNS2	3
KCTD16	3
KCTD19	3
KDELC2	3
KDM2B	3
KDM6A	3
KHDRBS2	3
KHSRP	3
KIAA0090	3
KIAA0907	3
KIAA0913	3
KIAA1598	3
KIAA2022	3
KIAA2026	3
KIF4A	3
KIR2DL1	3
KIT	3
KLHL13	3
KLK15	3
KRT13	3
KRT79	3
KRT9	3
KRTAP10-11	3
LARP1	3
LAS1L	3
LBP	3
LCE1F	3
LCT	3
LDLR	3
LOC440040	3
LOC442028	3
LOC645166	3
LPAR3	3
LPHN3	3
LRBA	3
LRRC66	3
LRRK2	3
LYPD4	3
MACC1	3
MAG	3
MAGEA6	3
MAGEB4	3
MAGEB6	3
MAN2A2	3
MAP2K3	3
MAP3K4	3
MAP3K9	3
MAPK8IP3	3
MAPKBP1	3
MAST1	3
MATK	3
MC2R	3
MC4R	3
MCM6	3
MDGA2	3
MED7	3
MET	3
MFSD12	3
MFSD9	3
MGAT4C	3
MICAL2	3
MKRN3	3
MLL	3
MMP3	3
MMRN1	3
